,tweets,class,
0,"News: Gun crime on the rise.

Left: let's ban legal ownership and end prosecution for illegal use. That should stop it. 

News; Gun crime at highest level despite no one being able buy one legally and no one's in jail of said crime.

Right: We told you.,D,

1,"No of legal gun ownership is highest in punjab.

But Kerala has the highest no of guns.",D,
2,“AR” does NOT stand for “assault rifle” or “automatic rifle.” AR-15 and other semi-automatic rifle,N,
3,"Who wants state controlled education? U. Who begs the state to dictate labor worth and not the individual? U. Who wants indiv profit to be taken/redistributed by force? U. Who is against gun ownership? U. All basic tenets of dem party, and mirror every fascist regime in history.",D,
5,"The United States has a gun problem. Other countries with stricter gun ownership laws see much less gun violence. What can",R,
6,"Anyone that supports unregulated gun ownership, sanctions the mass murder of innocent men, women and young school children in",D,
7,"Did you get into Sinema's stash?

Gun ownership should require 10 personal references who will be civilly liable if a weapon is lost, stolen, or misused.

If you like your revolver, you can keep your revolver.",R,
8,If that was really the goal you’d be advocating for reducing gun smuggling not legal gun ownership,N,
9,"Please tell me who is taking guns from who? I  just bought a gun, no issue. I did go thru a background check, which is good. You r comments are not in alignment with gun ownership!",R,
10,"How is it against the 2nd amendment?  The 2nd amendment doesn't guarantee you the weapon of  your choice. 
I'm not against gun ownership.  I'm against ownership of a mass murder weapon.",D,
11,"It turns into a real mess. They have conversations in post modern gibberish, the guy saying things like he refused to do something because it was appropriation. They have a discussion over the statistics of gun ownership and self defense, in the midst of the alien invasion.",D,
12,"You don't actually know anything about Hitler's stance on gun ownership, do you?",N,
13,"I'm not sure what you're arguing here... routinely argues for RESPONSIBLE gun ownership, and accountability for irresponsible gun ownership. That's it. That's the tweet. You're making canned arguments that assume something he isn't saying.",N,
14,Signed a gun ownership law removing the background,R,
15,"Case in point towns with mandatory gun ownership ordinance, seethe  lowest crime rates as everyone knows everyone has a gun and the though of getting shot by anyone in the town who tires to do bad is a denture to crime. This doesn't over ride who's eligible to own a gun.",D,
16,"In light of the 14th Amendment, absolutely, but prior to that, legally speaking, states could have curtailed firearms ownership as they pleased. Now, effectively all gun laws are repugnant to the Constitution.",R,
17,"There should be no such thing as lawful gun ownership, no more than there should be such a thing as lawful child rape.",D,
18,"The United States has a gun problem. Other countries with stricter gun 
ownership laws see much less gun violence. What can",R,
19,"The United States has a gun problem. Other countries with stricter gun 
ownership laws see much less gun violence. What can",R,
20,"So, a tiny, TINY case was made for restrictionless gun ownership...and then that case was immediately snuffed out by the exact reason we want gun reform in the first place.

It would be funny if it wasn't so depressing.",D,
21,Will she be a true leader?  Even after gun ownership is abolished?,D,
22,Got it. So the rest of the world isn't civil or civilised by not promoting gun ownership. Mekes sense,R,
