,tweets
0,"Hopefully we aren't jumping the gun here, but things really need to improve if Elon really wants Twitter to have a future under his ownership."
1,@Reeee84732604 @markyfark2112 @RyanPallas @RoryIzCool @davidhogg111 Unfortunately it doesn't matter whether gun owners support or don't support the NRA. They benefit from the firearm industry and will avoid transparency that allows responsible gun owners from having any actual facts to base their decisions of ownership and legislation upon.
2,"I support Marco Rubio, who believes the solution to gun violence is to identify potential perpetrators and remove their guns, not ban gun ownership 
#midterm #elections https://t.co/5pWBKSXkU2"
3,"RT @reaim_us: If you still can not understand why parenting and gun ownership are major responsibilities, please stay childless and unarmed…"
4,"RT @reaim_us: If you still can not understand why parenting and gun ownership are major responsibilities, please stay childless and unarmed…"
5,"Gun rights are individual liberties and are strictly protected by the Constitution, I support Marco Rubio, who believes the solution to gun violence is to identify potential perpetrators and remove their guns, not ban gun ownership.#midterm #elections https://t.co/FlxW167HBc"
6,"RT @Everytown: Children don't need to die like this. These tragedies can be prevented with secure storage. Storing guns unloaded, locked, a…"
7,"If you still can not understand why parenting and gun ownership are major responsibilities, please stay childless and unarmed.   

#SafetyFirst #REAIM🚸 🇺🇸 https://t.co/Jz9SQOcUg2"
8,@GOPLeader This is the GOP plan to fix the economy…this and mandatory gun ownership and jail time for rape victims and women with atopic pregnancies.
9,"RT @kylegriffin1: NBC News projects: Oregon Measure 114 - Increase Gun Ownership Requirements has been approved.

Measure 114 will create a…"
10,"RT @Skyhawk1: @TheLeoTerrell 1. There is no laptop. 
2. Hunter is facing tax charges and we don't have a problem with him being indicted if…"
11,"RT @Skyhawk1: @TheLeoTerrell 1. There is no laptop. 
2. Hunter is facing tax charges and we don't have a problem with him being indicted if…"
12,"New Twitter ownership is going well.

I'm goin' down in a blaze of glory
(Down)
Take me now but know the truth
I'm goin' down in a blaze of glory
(Down)
Lord I never drew first
But I drew first blood
I'm no one's son
Call me young gun https://t.co/eW0OOw98Qf"
13,"@rob_louis1 After reading that article I wouldn't be surprised if she did do PR for the NRA

After all those kids getting shot and Obama in tears she still supported gun ownership"
14,"Gun rights are individual liberties and are strictly protected by the Constitution, I support Marco Rubio, who believes the solution to gun violence is to identify potential perpetrators and remove their guns, not ban gun ownership.#midterm #elections https://t.co/rbUzXV3XcW"
15,"@RisingBlur @Hyper_Falcon As far as I know, four year olds cannot LEGALLY own a gun. Their parents would have to have a license or otherwise. Either way, there was irresponsible gun ownership in play."
16,"Gun rights are individual liberties and are strictly protected by the Constitution, I support Marco Rubio, who believes the solution to gun violence is to identify potential perpetrators and remove their guns, not ban gun ownership.#midterm #elections https://t.co/aelHtYVqcT"
17,"Gun rights are individual liberties and are strictly protected by the Constitution, I support Marco Rubio, who believes the solution to gun violence is to identify potential perpetrators and remove their guns, not ban gun ownership.#midterm #elections https://t.co/Vqw3Sv7Tso"
18,@RonnyJacksonTX If your afraid of proper vetting for gun Ownership - you’re the one we don’t want with a gun
19,"Thank you @dunleamark for having me on @MediaSanctuary to talk about DISCOVER program which will take illegal guns off the streets and promote responsible gun ownership passed Monday at the @AlbanyNYLeg! Listen here ⤵️
#EndGunViolence
https://t.co/oWuP3ONS7Q"
20,"@TheTomKnighton Yeah, if they want to make gun owners and non-gun owners closer, perhaps they should sponsor taking the non-gun owners to the range for a day. Increasing gun ownership should meet their goal of making the community safer."
21,"@cmegg @jed20004 @GodOrNothing1 @Chris_SmithsJ @Bishopoftyler Good to hear. Maybe you have difficulty because you have a difference of opinion on say gun ownership? Open borders? 

The Church however does not address ‘social’ issues other than to say that we must love our neighbour. There is no doctrine saying that we can’t own weapons, etc"
22,@J86189508 @sangucheavemayo @rezzmis Gun ownership is up almost 60% in America since the 90s murder rates have dropped by half cope pussy https://t.co/HmcIczT5z3
23,@sangucheavemayo Here's direct evidence that shows as gun ownership has gone up in America ppl including children are twice as likely not to be murdered as more ppl own guns https://t.co/QClSTTxfK0
24,"@SenateCA Be interesting to see what the ""certain"" firearms offenses are. 

Since we just passed stricter laws on legal gun ownership."
25,@sangucheavemayo So it's some interesting stuff I've found are murder rates are very close despite are very lax gun laws but the difference is gun ownership in America has increased by almost 60% yet are murder rate has dropped by half in the same time https://t.co/x9kwCgLtu3
26,"It's important to remember what the NRA once stood for: responsible gun ownership.

The NRA wasn't *always* an organization that opposed sensible, bipartisan legislation. It was founded in 1871 to advance rifle marksmanship and firearm safety &amp; competency. #EndGunViolence"
27,"@SaveYourSons Make Gun Ownership illegal.
Make self-defense a crime.
Make compliance more important than truth."
28,@cy954 Gun ownership &amp; the 2nd amendment is a uniquely American thing . There’s no equivalent almost elsewhere . Therefore I understand foreigners being anti gun and am not offended by it
29,"@Steve_B1810 @jenndvc @csaaaofficial The’ll keep coming. One day if the sheep let them, they’ll ban all civilian gun ownership. And then? They’ll come for something else, maybe then the sheep will figure it out."
30,RT @StudentsDemand: Kids shouldn’t be paying the price for irresponsible gun ownership with their lives. #SecureStorageSavesLives
31,"@GolfGuruDoug @TPHAPP @NormRyl @davidhogg111 Also - your initial claim is just simply wrong. Gun ownership IS associated, dramatically, with suicide.

https://t.co/AAbkKnf5fh"
32,@2aHistory @dj_croftt @IiiMorrell @tpsquest @ReneeBeau3776 @ThomasSowell All I’ve ever meant is that the constitution gives ample credence to regulate gun and weapon ownership but not to devoid us of it. Very few people argue Bezos should have the right to bear nuclear war heads… yet it’s a huge issue to say regulation is constitutional to the GOP.
33,@kylegriffin1 Certainly now all criminals will comply with gun ownership in this legal way.  Whew
34,"If you still can not understand why parenting and gun ownership are major responsibilities, PLEASE do yourself and the world a favor: 

Stay childless and unarmed.   

#SafetyFirst #REAIM🚸 🇺🇸 https://t.co/Jz9SQOcUg2"
35,RT @GLGunRights: So I assume that means you won't be trampling on the Second Amendment rights of all Michiganders? No? Just a hollow promis…
36,"RT @DontKnowOh: @SueSuezep Yes, she is a libertarian who wants us to adopt the worst of what they have in the US: privatised health care an…"
37,"@weetbixjunkie @writebynight @Brown1Bene @KariLakeWarRoom @maricopacounty We don't worship skin color, it matters not in the hereafter. We worship the father, son and Holy Ghost. 3 in 1. Gun ownership is good too, only criminals commit crimes with them. Make an example of criminals using guns instead of relying on social workers and that will stop."
38,@AetiusRF Gun ownership &gt; Children's lives in America
39,"@ChaseHoward14 @CCFR_CCDAF There are over 3 million registered legal gun owners.  If legal firearm ownership are the problem, you'll know."
40,"@SueSuezep Yes, she is a libertarian who wants us to adopt the worst of what they have in the US: privatised health care and gun ownership. https://t.co/QE7vgOQY1b"
41,"That’s some responsible gun ownership, right there, I tell you Hwhat.

JFC https://t.co/9dlTCveAQD"
42,@callmedrlike @Kingston5594 @Hicks89 @Twipperwill @davidhogg111 Of course you wouldn’t . Equating pool deaths with gun deaths is a false equivalence. 400 deaths pa compared to 45000. You’ve got a lot of words to say you think your right to have unfettered gun ownership overrides the right of people to not die. The dead are on your conscience
43,"RT @grumpylibtxvet: @prmullen69 @Mollyploofkins As a veteran, I can tell you, that so many of the 18- 20 year olds, despite being in the mi…"
